タイトル,年月,売上予測（円）,サービス開始日,サービス終了日,備考
スーパーガンダムロワイヤル,2018/12,248000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2018/11,251000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2018/10,263000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2018/09,190000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2018/08,198000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2018/07,273000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2018/06,223000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2018/05,265000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2018/04,318000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2018/03,283000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2018/02,252000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2018/01,403000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2019/12,117000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2019/11,178000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2019/10,180000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2019/09,169000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2019/08,201000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2019/07,217000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2019/06,187000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2019/05,234000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2019/04,233000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2019/03,219000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2019/02,201000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2019/01,317000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2020/12,102000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2020/11,91190000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2020/10,115000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2020/09,92660000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2020/08,96290000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2020/07,87520000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2020/06,96720000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2020/05,87820000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2020/04,90130000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2020/03,126000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2020/02,113000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2020/01,162000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2021/06,770000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2021/05,127000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2021/04,112000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2021/03,124000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2021/02,91210000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2021/01,138000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
武器よさらば,2018/08,5290000,2017/3/30,2019/03/25,"無料, プレイ人数：1人"
武器よさらば,2018/07,13190000,2017/3/30,2019/03/25,"無料, プレイ人数：1人"
武器よさらば,2018/06,3770000,2017/3/30,2019/03/25,"無料, プレイ人数：1人"
武器よさらば,2018/05,6110000,2017/3/30,2019/03/25,"無料, プレイ人数：1人"
武器よさらば,2018/04,16540000,2017/3/30,2019/03/25,"無料, プレイ人数：1人"
武器よさらば,2018/03,22040000,2017/3/30,2019/03/25,"無料, プレイ人数：1人"
武器よさらば,2018/02,15760000,2017/3/30,2019/03/25,"無料, プレイ人数：1人"
スーパーロボット大戦X-Ω,2018/12,184000000,2015/10/5,2021/03/30,"アニメ/コミック, ロボット, 戦争物, 無料"
スーパーロボット大戦X-Ω,2018/11,175000000,2015/10/5,2021/03/30,"アニメ/コミック, ロボット, 戦争物, 無料"
スーパーロボット大戦X-Ω,2018/10,203000000,2015/10/5,2021/03/30,"アニメ/コミック, ロボット, 戦争物, 無料"
スーパーロボット大戦X-Ω,2018/09,132000000,2015/10/5,2021/03/30,"アニメ/コミック, ロボット, 戦争物, 無料"
スーパーロボット大戦X-Ω,2018/08,166000000,2015/10/5,2021/03/30,"アニメ/コミック, ロボット, 戦争物, 無料"
スーパーロボット大戦X-Ω,2018/07,173000000,2015/10/5,2021/03/30,"アニメ/コミック, ロボット, 戦争物, 無料"
スーパーロボット大戦X-Ω,2018/06,140000000,2015/10/5,2021/03/30,"アニメ/コミック, ロボット, 戦争物, 無料"
スーパーロボット大戦X-Ω,2018/05,166000000,2015/10/5,2021/03/30,"アニメ/コミック, ロボット, 戦争物, 無料"
スーパーロボット大戦X-Ω,2018/04,172000000,2015/10/5,2021/03/30,"アニメ/コミック, ロボット, 戦争物, 無料"
スーパーロボット大戦X-Ω,2018/03,248000000,2015/10/5,2021/03/30,"アニメ/コミック, ロボット, 戦争物, 無料"
スーパーロボット大戦X-Ω,2018/02,154000000,2015/10/5,2021/03/30,"アニメ/コミック, ロボット, 戦争物, 無料"
スーパーロボット大戦X-Ω,2018/01,158000000,2015/10/5,2021/03/30,"アニメ/コミック, ロボット, 戦争物, 無料"
スーパーロボット大戦X-Ω,2019/12,89360000,2015/10/5,2021/03/30,"アニメ/コミック, ロボット, 戦争物, 無料"
スーパーロボット大戦X-Ω,2019/11,109000000,2015/10/5,2021/03/30,"アニメ/コミック, ロボット, 戦争物, 無料"
スーパーロボット大戦X-Ω,2019/10,183000000,2015/10/5,2021/03/30,"アニメ/コミック, ロボット, 戦争物, 無料"
スーパーロボット大戦X-Ω,2019/09,116000000,2015/10/5,2021/03/30,"アニメ/コミック, ロボット, 戦争物, 無料"
スーパーロボット大戦X-Ω,2019/08,149000000,2015/10/5,2021/03/30,"アニメ/コミック, ロボット, 戦争物, 無料"
スーパーロボット大戦X-Ω,2019/07,152000000,2015/10/5,2021/03/30,"アニメ/コミック, ロボット, 戦争物, 無料"
スーパーロボット大戦X-Ω,2019/06,175000000,2015/10/5,2021/03/30,"アニメ/コミック, ロボット, 戦争物, 無料"
スーパーロボット大戦X-Ω,2019/05,115000000,2015/10/5,2021/03/30,"アニメ/コミック, ロボット, 戦争物, 無料"
スーパーロボット大戦X-Ω,2019/04,106000000,2015/10/5,2021/03/30,"アニメ/コミック, ロボット, 戦争物, 無料"
スーパーロボット大戦X-Ω,2019/03,167000000,2015/10/5,2021/03/30,"アニメ/コミック, ロボット, 戦争物, 無料"
スーパーロボット大戦X-Ω,2019/02,128000000,2015/10/5,2021/03/30,"アニメ/コミック, ロボット, 戦争物, 無料"
スーパーロボット大戦X-Ω,2019/01,141000000,2015/10/5,2021/03/30,"アニメ/コミック, ロボット, 戦争物, 無料"
スーパーロボット大戦X-Ω,2020/12,42370000,2015/10/5,2021/03/30,"アニメ/コミック, ロボット, 戦争物, 無料"
スーパーロボット大戦X-Ω,2020/11,68660000,2015/10/5,2021/03/30,"アニメ/コミック, ロボット, 戦争物, 無料"
スーパーロボット大戦X-Ω,2020/10,101000000,2015/10/5,2021/03/30,"アニメ/コミック, ロボット, 戦争物, 無料"
スーパーロボット大戦X-Ω,2020/09,61890000,2015/10/5,2021/03/30,"アニメ/コミック, ロボット, 戦争物, 無料"
スーパーロボット大戦X-Ω,2020/08,49580000,2015/10/5,2021/03/30,"アニメ/コミック, ロボット, 戦争物, 無料"
スーパーロボット大戦X-Ω,2020/07,73020000,2015/10/5,2021/03/30,"アニメ/コミック, ロボット, 戦争物, 無料"
スーパーロボット大戦X-Ω,2020/06,82690000,2015/10/5,2021/03/30,"アニメ/コミック, ロボット, 戦争物, 無料"
スーパーロボット大戦X-Ω,2020/05,59380000,2015/10/5,2021/03/30,"アニメ/コミック, ロボット, 戦争物, 無料"
スーパーロボット大戦X-Ω,2020/04,79960000,2015/10/5,2021/03/30,"アニメ/コミック, ロボット, 戦争物, 無料"
スーパーロボット大戦X-Ω,2020/03,85270000,2015/10/5,2021/03/30,"アニメ/コミック, ロボット, 戦争物, 無料"
スーパーロボット大戦X-Ω,2020/02,111000000,2015/10/5,2021/03/30,"アニメ/コミック, ロボット, 戦争物, 無料"
スーパーロボット大戦X-Ω,2020/01,79640000,2015/10/5,2021/03/30,"アニメ/コミック, ロボット, 戦争物, 無料"
スーパーロボット大戦X-Ω,2021/01,67040000,2015/10/5,2021/03/30,"アニメ/コミック, ロボット, 戦争物, 無料"
FINAL FANTASY GRANDMASTERS,2018/12,49360000,2015/10/1,2019/04/25,"日本, ファイナルファンタジー, 無料, ファンタジー"
FINAL FANTASY GRANDMASTERS,2018/11,29820000,2015/10/1,2019/04/25,"日本, ファイナルファンタジー, 無料, ファンタジー"
FINAL FANTASY GRANDMASTERS,2018/10,36030000,2015/10/1,2019/04/25,"日本, ファイナルファンタジー, 無料, ファンタジー"
FINAL FANTASY GRANDMASTERS,2018/09,39470000,2015/10/1,2019/04/25,"日本, ファイナルファンタジー, 無料, ファンタジー"
FINAL FANTASY GRANDMASTERS,2018/08,45370000,2015/10/1,2019/04/25,"日本, ファイナルファンタジー, 無料, ファンタジー"
FINAL FANTASY GRANDMASTERS,2018/07,41530000,2015/10/1,2019/04/25,"日本, ファイナルファンタジー, 無料, ファンタジー"
FINAL FANTASY GRANDMASTERS,2018/06,24880000,2015/10/1,2019/04/25,"日本, ファイナルファンタジー, 無料, ファンタジー"
FINAL FANTASY GRANDMASTERS,2018/05,58230000,2015/10/1,2019/04/25,"日本, ファイナルファンタジー, 無料, ファンタジー"
FINAL FANTASY GRANDMASTERS,2018/04,14650000,2015/10/1,2019/04/25,"日本, ファイナルファンタジー, 無料, ファンタジー"
FINAL FANTASY GRANDMASTERS,2018/03,6200000,2015/10/1,2019/04/25,"日本, ファイナルファンタジー, 無料, ファンタジー"
FINAL FANTASY GRANDMASTERS,2018/02,31990000,2015/10/1,2019/04/25,"日本, ファイナルファンタジー, 無料, ファンタジー"
FINAL FANTASY GRANDMASTERS,2018/01,54770000,2015/10/1,2019/04/25,"日本, ファイナルファンタジー, 無料, ファンタジー"
FINAL FANTASY GRANDMASTERS,2019/02,13340000,2015/10/1,2019/04/25,"日本, ファイナルファンタジー, 無料, ファンタジー"
FINAL FANTASY GRANDMASTERS,2019/01,30660000,2015/10/1,2019/04/25,"日本, ファイナルファンタジー, 無料, ファンタジー"
ドラゴンプロジェクト,2018/12,112000000,2016/6/3,2019/06/27,"プレイ人数：1～4人, 協力プレイ, ファンタジー, 無料, 日本"
ドラゴンプロジェクト,2018/11,115000000,2016/6/3,2019/06/27,"プレイ人数：1～4人, 協力プレイ, ファンタジー, 無料, 日本"
ドラゴンプロジェクト,2018/10,101000000,2016/6/3,2019/06/27,"プレイ人数：1～4人, 協力プレイ, ファンタジー, 無料, 日本"
ドラゴンプロジェクト,2018/09,106000000,2016/6/3,2019/06/27,"プレイ人数：1～4人, 協力プレイ, ファンタジー, 無料, 日本"
ドラゴンプロジェクト,2018/08,121000000,2016/6/3,2019/06/27,"プレイ人数：1～4人, 協力プレイ, ファンタジー, 無料, 日本"
ドラゴンプロジェクト,2018/07,136000000,2016/6/3,2019/06/27,"プレイ人数：1～4人, 協力プレイ, ファンタジー, 無料, 日本"
ドラゴンプロジェクト,2018/06,198000000,2016/6/3,2019/06/27,"プレイ人数：1～4人, 協力プレイ, ファンタジー, 無料, 日本"
ドラゴンプロジェクト,2018/05,171000000,2016/6/3,2019/06/27,"プレイ人数：1～4人, 協力プレイ, ファンタジー, 無料, 日本"
ドラゴンプロジェクト,2018/04,192000000,2016/6/3,2019/06/27,"プレイ人数：1～4人, 協力プレイ, ファンタジー, 無料, 日本"
ドラゴンプロジェクト,2018/03,189000000,2016/6/3,2019/06/27,"プレイ人数：1～4人, 協力プレイ, ファンタジー, 無料, 日本"
ドラゴンプロジェクト,2018/02,147000000,2016/6/3,2019/06/27,"プレイ人数：1～4人, 協力プレイ, ファンタジー, 無料, 日本"
ドラゴンプロジェクト,2018/01,193000000,2016/6/3,2019/06/27,"プレイ人数：1～4人, 協力プレイ, ファンタジー, 無料, 日本"
ドラゴンプロジェクト,2019/04,7080000,2016/6/3,2019/06/27,"プレイ人数：1～4人, 協力プレイ, ファンタジー, 無料, 日本"
ドラゴンプロジェクト,2019/03,139000000,2016/6/3,2019/06/27,"プレイ人数：1～4人, 協力プレイ, ファンタジー, 無料, 日本"
ドラゴンプロジェクト,2019/02,60860000,2016/6/3,2019/06/27,"プレイ人数：1～4人, 協力プレイ, ファンタジー, 無料, 日本"
ドラゴンプロジェクト,2019/01,123000000,2016/6/3,2019/06/27,"プレイ人数：1～4人, 協力プレイ, ファンタジー, 無料, 日本"
戦の海賊,2018/12,8280000,2015/8/27,2022/03/31,"海洋, 無料"
戦の海賊,2018/11,15140000,2015/8/27,2022/03/31,"海洋, 無料"
戦の海賊,2018/10,16980000,2015/8/27,2022/03/31,"海洋, 無料"
戦の海賊,2018/09,23300000,2015/8/27,2022/03/31,"海洋, 無料"
戦の海賊,2018/08,17190000,2015/8/27,2022/03/31,"海洋, 無料"
戦の海賊,2018/07,20360000,2015/8/27,2022/03/31,"海洋, 無料"
戦の海賊,2018/06,19600000,2015/8/27,2022/03/31,"海洋, 無料"
戦の海賊,2018/05,38010000,2015/8/27,2022/03/31,"海洋, 無料"
戦の海賊,2018/04,30860000,2015/8/27,2022/03/31,"海洋, 無料"
戦の海賊,2018/03,26290000,2015/8/27,2022/03/31,"海洋, 無料"
戦の海賊,2018/02,27560000,2015/8/27,2022/03/31,"海洋, 無料"
戦の海賊,2018/01,16950000,2015/8/27,2022/03/31,"海洋, 無料"
戦の海賊,2019/12,12460000,2015/8/27,2022/03/31,"海洋, 無料"
戦の海賊,2019/11,8450000,2015/8/27,2022/03/31,"海洋, 無料"
戦の海賊,2019/10,13160000,2015/8/27,2022/03/31,"海洋, 無料"
戦の海賊,2019/09,23920000,2015/8/27,2022/03/31,"海洋, 無料"
戦の海賊,2019/08,27580000,2015/8/27,2022/03/31,"海洋, 無料"
戦の海賊,2019/07,8290000,2015/8/27,2022/03/31,"海洋, 無料"
戦の海賊,2019/06,12670000,2015/8/27,2022/03/31,"海洋, 無料"
戦の海賊,2019/05,1830000,2015/8/27,2022/03/31,"海洋, 無料"
戦の海賊,2019/04,2300000,2015/8/27,2022/03/31,"海洋, 無料"
戦の海賊,2019/03,8300000,2015/8/27,2022/03/31,"海洋, 無料"
戦の海賊,2019/02,11770000,2015/8/27,2022/03/31,"海洋, 無料"
戦の海賊,2019/01,18910000,2015/8/27,2022/03/31,"海洋, 無料"
戦の海賊,2020/12,5890000,2015/8/27,2022/03/31,"海洋, 無料"
戦の海賊,2020/11,6210000,2015/8/27,2022/03/31,"海洋, 無料"
戦の海賊,2020/10,7670000,2015/8/27,2022/03/31,"海洋, 無料"
戦の海賊,2020/09,7790000,2015/8/27,2022/03/31,"海洋, 無料"
戦の海賊,2020/08,13260000,2015/8/27,2022/03/31,"海洋, 無料"
戦の海賊,2020/07,7380000,2015/8/27,2022/03/31,"海洋, 無料"
戦の海賊,2020/06,12800000,2015/8/27,2022/03/31,"海洋, 無料"
戦の海賊,2020/05,13320000,2015/8/27,2022/03/31,"海洋, 無料"
戦の海賊,2020/04,11180000,2015/8/27,2022/03/31,"海洋, 無料"
戦の海賊,2020/03,10960000,2015/8/27,2022/03/31,"海洋, 無料"
戦の海賊,2020/02,6800000,2015/8/27,2022/03/31,"海洋, 無料"
戦の海賊,2020/01,7390000,2015/8/27,2022/03/31,"海洋, 無料"
戦の海賊,2021/12,23700000,2015/8/27,2022/03/31,"海洋, 無料"
戦の海賊,2021/11,19030000,2015/8/27,2022/03/31,"海洋, 無料"
戦の海賊,2021/10,25530000,2015/8/27,2022/03/31,"海洋, 無料"
戦の海賊,2021/09,11090000,2015/8/27,2022/03/31,"海洋, 無料"
戦の海賊,2021/08,11240000,2015/8/27,2022/03/31,"海洋, 無料"
戦の海賊,2021/07,5080000,2015/8/27,2022/03/31,"海洋, 無料"
戦の海賊,2021/06,7540000,2015/8/27,2022/03/31,"海洋, 無料"
戦の海賊,2021/05,3960000,2015/8/27,2022/03/31,"海洋, 無料"
戦の海賊,2021/04,8900000,2015/8/27,2022/03/31,"海洋, 無料"
戦の海賊,2021/03,3690000,2015/8/27,2022/03/31,"海洋, 無料"
戦の海賊,2021/02,8630000,2015/8/27,2022/03/31,"海洋, 無料"
戦の海賊,2021/01,8550000,2015/8/27,2022/03/31,"海洋, 無料"
戦の海賊,2022/01,26590000,2015/8/27,2022/03/31,"海洋, 無料"
誰ガ為のアルケミスト,2018/12,175000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2018/11,222000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2018/10,234000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2018/09,291000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2018/08,206000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2018/07,256000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2018/06,268000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2018/05,326000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2018/04,257000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2018/03,260000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2018/02,372000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2018/01,429000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2019/12,164000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2019/11,184000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2019/10,311000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2019/09,187000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2019/08,208000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2019/07,229000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2019/06,388000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2019/05,239000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2019/04,227000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2019/03,271000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2019/02,307000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2019/01,313000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2020/12,134000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2020/11,125000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2020/10,196000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2020/09,149000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2020/08,142000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2020/07,138000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2020/06,177000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2020/05,177000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2020/04,183000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2020/03,186000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2020/02,307000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2020/01,240000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2021/12,108000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2021/11,82010000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2021/10,100000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2021/09,130000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2021/08,146000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2021/07,129000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2021/06,150000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2021/05,163000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2021/04,136000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2021/03,160000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2021/02,253000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2021/01,140000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2022/12,59730000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2022/11,80610000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2022/10,96480000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2022/09,96030000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2022/08,89150000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2022/07,107000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2022/06,105000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2022/05,138000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2022/04,109000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2022/03,134000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2022/02,208000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2022/01,191000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2023/12,41410000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2023/11,48540000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2023/10,55550000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2023/09,43350000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2023/08,80220000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2023/07,66100000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2023/06,46950000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2023/05,73430000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2023/04,50510000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2023/03,68030000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2023/02,130000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2023/01,138000000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2024/09,40410000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2024/08,51150000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2024/07,61180000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2024/06,42070000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2024/05,45700000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2024/04,58200000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
誰ガ為のアルケミスト,2024/03,46030000,2016/1/28,2024/11/29,"ファンタジー, 戦略級, 基本プレイ無料"
