年月,タイトル,売上予測（円）,サービス開始日,サービス終了日,備考
2018-03-01,23/7 トゥエンティ スリー セブン,36480000.0,2018-03-15,2018-12-27,"ファンタジー, 無料"
2018-04-01,23/7 トゥエンティ スリー セブン,5280000.0,2018-03-15,2018-12-27,"ファンタジー, 無料"
2018-05-01,23/7 トゥエンティ スリー セブン,15133333.333333334,2018-03-15,2018-12-27,"ファンタジー, 無料"
2018-06-01,23/7 トゥエンティ スリー セブン,15133333.333333334,2018-03-15,2018-12-27,"ファンタジー, 無料"
2018-07-01,23/7 トゥエンティ スリー セブン,15133333.333333334,2018-03-15,2018-12-27,"ファンタジー, 無料"
2018-08-01,23/7 トゥエンティ スリー セブン,3640000.0,2018-03-15,2018-12-27,"ファンタジー, 無料"
2018-09-01,23/7 トゥエンティ スリー セブン,15133333.333333334,2018-03-15,2018-12-27,"ファンタジー, 無料"
2018-10-01,23/7 トゥエンティ スリー セブン,15133333.333333334,2018-03-15,2018-12-27,"ファンタジー, 無料"
2018-11-01,23/7 トゥエンティ スリー セブン,15133333.333333334,2018-03-15,2018-12-27,"ファンタジー, 無料"
2018-12-01,23/7 トゥエンティ スリー セブン,15133333.333333334,2018-03-15,2018-12-27,"ファンタジー, 無料"
2023-04-01,404 GAME RE：SET -エラーゲームリセット-,21030000.0,2023-04-25,2024-01-05,
2023-05-01,404 GAME RE：SET -エラーゲームリセット-,84530000.0,2023-04-25,2024-01-05,
2023-06-01,404 GAME RE：SET -エラーゲームリセット-,50980000.0,2023-04-25,2024-01-05,
2023-07-01,404 GAME RE：SET -エラーゲームリセット-,42370000.0,2023-04-25,2024-01-05,
2023-08-01,404 GAME RE：SET -エラーゲームリセット-,57420000.0,2023-04-25,2024-01-05,
2023-09-01,404 GAME RE：SET -エラーゲームリセット-,43550000.0,2023-04-25,2024-01-05,
2023-10-01,404 GAME RE：SET -エラーゲームリセット-,34570000.0,2023-04-25,2024-01-05,
2023-11-01,404 GAME RE：SET -エラーゲームリセット-,680000.0,2023-04-25,2024-01-05,
2023-12-01,404 GAME RE：SET -エラーゲームリセット-,41891250.0,2023-04-25,2024-01-05,
2024-01-01,404 GAME RE：SET -エラーゲームリセット-,41891250.0,2023-04-25,2024-01-05,
2016-05-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2016-06-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2016-07-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2016-08-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2016-09-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2016-10-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2016-11-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2016-12-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2017-01-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2017-02-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2017-03-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2017-04-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2017-05-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2017-06-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2017-07-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2017-08-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2017-09-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2017-10-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2017-11-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2017-12-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2018-01-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2018-02-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2018-03-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2018-04-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2018-05-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2018-06-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2018-07-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2018-08-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2018-09-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2018-10-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2018-11-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2018-12-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2019-01-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2019-02-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2019-03-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2019-04-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2019-05-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2019-06-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2019-07-01,8 beat Story ~アイドル×音楽ゲーム~,130000.0,2016-05-13,2024-06-30,アイドル音楽ゲーム
2019-08-01,8 beat Story ~アイドル×音楽ゲーム~,80000.0,2016-05-13,2024-06-30,アイドル音楽ゲーム
2019-09-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2019-10-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2019-11-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2019-12-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2020-01-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2020-02-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2020-03-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2020-04-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2020-05-01,8 beat Story ~アイドル×音楽ゲーム~,290000.0,2016-05-13,2024-06-30,アイドル音楽ゲーム
2020-06-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2020-07-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2020-08-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2020-09-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2020-10-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2020-11-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2020-12-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2021-01-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2021-02-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2021-03-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2021-04-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2021-05-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2021-06-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2021-07-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2021-08-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2021-09-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2021-10-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2021-11-01,8 beat Story ~アイドル×音楽ゲーム~,570000.0,2016-05-13,2024-06-30,アイドル音楽ゲーム
2021-12-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2022-01-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2022-02-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2022-03-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2022-04-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2022-05-01,8 beat Story ~アイドル×音楽ゲーム~,1290000.0,2016-05-13,2024-06-30,アイドル音楽ゲーム
2022-06-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2022-07-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
2022-08-01,8 beat Story ~アイドル×音楽ゲーム~,1240000.0,2016-05-13,2024-06-30,アイドル音楽ゲーム
2022-09-01,8 beat Story ~アイドル×音楽ゲーム~,1130833.3333333333,2016-05-13,2024-06-30,アイドル音楽ゲーム
