タイトル,観測月数,売上合計,売上中央値,最大月売上,最終売上月,サービス終了日
12オーディンズ - 王道RPG,4,19760000,2605000.0,12850000,2018-04,2018/10/31
22/7 音楽の時間,16,533910000,26295000.0,102000000,2021-08,2021/12/22
23/7 トゥエンティ スリー セブン,3,45400000,5280000.0,36480000,2018-08,2018/12/27
404 GAME RE：SET -エラーゲームリセット-,8,335130000,42960000.0,84530000,2023-11,2024/01/05
8 beat Story ~アイドル×音楽ゲーム~,12,13570000,570000.0,4620000,2024-05,2024/06/30
A.I.M.$,11,167070000,8210000.0,48450000,2021-10,2021/11/16
AKB48 WORLD,19,244440000,12310000.0,30540000,2023-11,2023/12/19
AKB48ステージファイター2 バトルフェスティバル,51,1238550000,20760000.0,74440000,2022-04,2022/07/29
AKB48ダイスキャラバン,6,57660000,5060000.0,28030000,2018-10,2019/05/07
Alice Closet,35,1074300000,24390000.0,100000000,2022-07,2022/08/31
Apex Legends Mobile,10,1646090000,166000000.0,283000000,2023-02,2023/05/02
ArkResona -アークレゾナ-,4,132330000,21450000.0,87650000,2019-11,2020/01/31
BFBチャンピオンズ2.0,30,177390000,2280000.0,30150000,2021-02,2021/06/01
BLACK STELLA PTOLOMEA,1,6220000,6220000.0,6220000,2024-04,2024/10/03
BLAZBLUE ALTERNATIVE DARKWAR,10,148420000,10885000.0,34260000,2021-11,2022/01/31
BLUE REFLECTION SUN/燦,14,916920000,59795000.0,146000000,2024-03,2024/05/30
BRAVELY DEFAULT FAIRY'S EFFECT,30,1757940000,44130000.0,149000000,2020-06,2020/08/31
CODE：SEED -星火ノ唄-,6,53500000,3790000.0,29740000,2020-05,2020/11/02
CUE! -See You Everyday-,19,447880000,22380000.0,66830000,2021-04,2021/04/30
DAME×PRINCE -ダメ王子たちとのドタバタ恋愛ADV,14,119620000,5710000.0,36290000,2019-06,2019/06/28
D_CIDE TRAUMEREI ディーサイドトロイメライ,12,198430000,6070000.0,86900000,2022-09,2022/10/28
DarkAvenger X - ダークアベンジャー クロス,10,508240000,26075000.0,158000000,2019-11,2020/01/30
EXTASY VISUAL SHOCK,5,92670000,13060000.0,36960000,2022-08,2022/10/31
EXtreme LIVES,10,630880000,66005000.0,114000000,2022-12,2023/02/28
Exos Heroes,35,1638410000,19470000.0,306000000,2023-03,2023/05/11
FAITH - フェイス,18,1640560000,52800000.0,338000000,2020-04,2020/06/08
FFVII THE FIRST SOLDIER,12,371560000,30955000.0,58320000,2022-10,2023/01/11
FINAL FANTASY GRANDMASTERS,14,476300000,34010000.0,58230000,2019-02,2019/04/25
GGGGG　協力・対戦アクションゲーム,3,33030000,9220000.0,22530000,2023-06,2023/11/30
GOD EATER RESONANT OPS,27,757370000,14100000.0,217000000,2020-07,2020/09/24
HIDE AND FIRE,14,708240000,48845000.0,118000000,2019-02,2019/06/25
HIT - ヒット,13,1057370000,64810000.0,193000000,2019-01,2019/05/30
HUNTER×HUNTER アリーナバトル,36,1001700000,23450000.0,128000000,2023-01,2023/03/31
HiGH＆LOW THE GAME,21,446120000,18520000.0,114000000,2021-06,2021/10/31
HoneyWorks Premium Live,28,1195740000,30960000.0,125000000,2023-02,2023/03/31
IS＜インフィニット・ストラトス＞アーキタイプ・ブレイカー,7,168970000,17100000.0,77160000,2018-07,2018/08/27
KING OF PRISM プリズムラッシュ！LIVE,30,450440000,11225000.0,56250000,2020-07,2020/10/29
KOFクロニクル,6,13870000,2700000.0,4380000,2020-04,2020/10/15
LINE ブラウンストーリーズ,25,36800000,1360000.0,3790000,2022-04,2022/05/31
LINE 超大富豪,7,16280000,1310000.0,8840000,2022-03,2022/05/31
LINE：ディズニー トイカンパニー,6,11330000,300000.0,10150000,2019-11,2019/12/04
LINE：ドラえもんパーク,27,714200000,23790000.0,51870000,2021-11,2021/12/13
LINE：ピクサー タワー ～おかいものパズル～,25,741080000,23830000.0,84180000,2021-08,2021/09/28
MARVEL Super War,21,51950000,1070000.0,15390000,2024-04,2024/06/27
MU：奇蹟の覚醒,35,573430000,14060000.0,45710000,2022-04,2022/06/20
NARUTO X BORUTO 忍者BORUTAGE,82,4593150000,42065000.0,188000000,2024-10,2024/12/09
NARUTO X BORUTO 忍者TRIBES,20,1179620000,56390000.0,125000000,2021-10,2021/12/16
NARUTO-ナルト- 疾風伝　ナルティメットブレイジング,25,176020000,3570000.0,30570000,2020-11,2021/02/09
NieR Recarnation,36,5715550000,87955000.0,1119000000,2024-01,2024/04/30
ONE PIECE サウザンドストーム,71,24420920000,334000000.0,821000000,2023-11,2024/01/23
ONE PIECE ボン！ボン！ジャーニー!!,24,867890000,26270000.0,87270000,2022-02,2022/04/06
OVERHIT -オーバーヒット-,32,3383700000,65935000.0,631000000,2020-12,2021/02/25
Pancy-恋活・婚活マッチングアプリ,8,196800000,24910000.0,39820000,2018-09,2019/03/31
PaniPani -パラレルニクスパンドラナイト-,3,23440000,4830000.0,15440000,2018-04,2018/11/28
Project NOAH - プロジェクト・ノア -,11,56250000,2100000.0,36460000,2020-07,2020/08/31
RANBU 三国志乱舞,5,47970000,7790000.0,16080000,2021-03,2021/07/14
Readyyy!,3,55670000,19270000.0,30350000,2019-04,2019/06/28
Re：ゼロから始める異世界生活 リゼロス,31,6031030000,151000000.0,728000000,2023-03,2023/05/12
SHAMAN KING ふんばりクロニクル,18,1875020000,86530000.0,237000000,2023-05,2023/07/12
SHOW BY ROCK!! Fes A Live,31,1721530000,56470000.0,97510000,2022-09,2022/11/30
SINoALICE ーシノアリスー,70,29304370000,320500000.0,1998000000,2023-10,2024/01/15
STAR OCEAN -anamnesis-,40,4692050000,84225000.0,354000000,2021-04,2021/06/24
StarHorsePocket+,75,4340890000,51090000.0,161000000,2024-03,2024/05/31
TERA ORIGIN,7,330330000,37170000.0,158000000,2020-04,2021/01/28
THE KING OF FIGHTERS ALLSTAR,72,6084750000,61950000.0,529000000,2024-06,2024/10/31
THE KING OF FIGHTERS for GIRLS,17,353910000,21560000.0,69020000,2021-03,2021/03/31
THE NEW GATE,5,820000,60000.0,450000,2020-04,2021/01/27
TRAHA,34,3135720000,84115000.0,254000000,2023-01,2023/04/20
TRINITY MASTER - トリマス -,1,6200000,6200000.0,6200000,2018-03,2018/09/27
V4,30,2228870000,66555000.0,235000000,2023-02,2023/04/26
VALKYRIE ANATOMIA,38,2504050000,50140000.0,156000000,2021-02,2021/04/27
Witch's Weapon-魔女兵器-,12,346300000,9680000.0,175000000,2020-07,2020/08/27
revisions next stage,1,8270000,8270000.0,8270000,2019-11,2020/08/12
sin 七つの大罪 X-TASY,26,628300000,12575000.0,166000000,2023-07,2023/09/27
takt op. 運命は真紅き旋律の街を,8,662690000,34100000.0,357000000,2024-01,2024/04/09
〈物語〉シリーズ ぷくぷく,19,1303830000,58290000.0,193000000,2020-02,2020/03/31
うたのプリンスさまっ Shining Live,70,12203300000,156500000.0,428000000,2023-10,2023/12/26
おそ松さん よくばり！ニートアイランド,3,56310000,21180000.0,30830000,2018-04,2018/06/18
おねがい、俺を現実に戻さないで！ シンフォニアステージ,1,850000,850000.0,850000,2020-12,2021/06/30
かくりよの門-朧-,8,6650000,220000.0,5010000,2020-06,2020/09/30
かみながしじま 〜輪廻の巫女〜,5,45200000,4090000.0,20910000,2023-10,2024/02/15
