タイトル,売上合計,平均売上,サービス開始日,サービス終了日,分類,サービス継続月数
12オーディンズ - 王道RPG,167960000.0,4940000.0,2016-01-26,2018-10-31,非IP,33
22/7 音楽の時間,667387500.0,33369375.0,2020-05-27,2021-12-22,IP,19
23/7 トゥエンティ スリー セブン,151333333.33333334,15133333.333333334,2018-03-15,2018-12-27,非IP,9
404 GAME RE：SET -エラーゲームリセット-,418912500.0,41891250.0,2023-04-25,2024-01-05,非IP,8
8 beat Story ~アイドル×音楽ゲーム~,110821666.66666666,1130833.3333333333,2016-05-13,2024-06-30,非IP,99
A.I.M.$,197446363.63636363,15188181.818181816,2020-11-17,2021-11-16,非IP,12
AKB48 WORLD,360227368.42105263,12865263.157894736,2021-09-09,2023-12-19,非IP,27
AKB48ステージファイター2 バトルフェスティバル,1408547058.8235295,24285294.11764706,2017-10-11,2022-07-29,非IP,58
AKB48ダイスキャラバン,134540000.0,9610000.0,2018-04-10,2019-05-07,非IP,13
Alice Closet,1135688571.4285715,30694285.714285716,2019-08-30,2022-08-31,非IP,36
Apex Legends Mobile,2139917000.0,164609000.0,2022-05-18,2023-05-02,非IP,11
ArkResona -アークレゾナ-,198495000.0,33082500.0,2019-08-14,2020-01-31,非IP,5
BFBチャンピオンズ2.0,360693000.0,5913000.0,2016-06-29,2021-06-01,非IP,59
BLACK STELLA PTOLOMEA,68420000.0,6220000.0,2023-12-07,2024-10-03,非IP,10
BLAZBLUE ALTERNATIVE DARKWAR,178104000.0,14842000.0,2021-02-16,2022-01-31,非IP,11
BLUE REFLECTION SUN/燦,1047908571.4285715,65494285.71428572,2023-02-21,2024-05-30,非IP,15
BRAVELY DEFAULT FAIRY'S EFFECT,2461116000.0,58598000.0,2017-03-23,2020-08-31,非IP,41
CODE：SEED -星火ノ唄-,107000000.0,8916666.666666666,2019-12-04,2020-11-02,非IP,11
CUE! -See You Everyday-,447880000.0,23572631.57894737,2019-10-25,2021-04-30,非IP,18
DAME×PRINCE -ダメ王子たちとのドタバタ恋愛ADV,341771428.5714286,8544285.714285715,2016-03-31,2019-06-28,非IP,39
D_CIDE TRAUMEREI ディーサイドトロイメライ,231501666.66666666,16535833.333333332,2021-09-30,2022-10-28,IP,13
DarkAvenger X - ダークアベンジャー クロス,609888000.0,50824000.0,2019-02-13,2020-01-30,非IP,11
EXTASY VISUAL SHOCK,148272000.0,18534000.0,2022-03-31,2022-10-31,非IP,7
EXtreme LIVES,757056000.0,63088000.0,2022-03-01,2023-02-28,非IP,12
Exos Heroes,1732033428.5714285,46811714.28571428,2020-05-28,2023-05-11,非IP,35
FAITH - フェイス,1822844444.4444444,91142222.22222222,2018-11-21,2020-06-08,非IP,18
FFVII THE FIRST SOLDIER,464450000.0,30963333.333333332,2021-11-17,2023-01-11,非IP,14
FINAL FANTASY GRANDMASTERS,1462921428.5714288,34021428.571428575,2015-10-01,2019-04-25,非IP,43
GGGGG　協力・対戦アクションゲーム,99090000.0,11010000.0,2023-03-31,2023-11-30,非IP,8
GOD EATER RESONANT OPS,841522222.2222222,28050740.74074074,2018-04-04,2020-09-24,非IP,30
HIDE AND FIRE,1720011428.5714288,50588571.42857143,2016-09-26,2019-06-25,非IP,33
HIT - ヒット,2440084615.3846154,81336153.84615384,2016-12-08,2019-05-30,非IP,30
HUNTER×HUNTER アリーナバトル,1085175000.0,27825000.0,2020-01-30,2023-03-31,IP,38
HiGH＆LOW THE GAME,531095238.0952381,21243809.523809522,2019-10-25,2021-10-31,非IP,24
HoneyWorks Premium Live,1238445000.0,42705000.0,2020-11-18,2023-03-31,非IP,28
IS＜インフィニット・ストラトス＞アーキタイプ・ブレイカー,217247142.85714287,24138571.42857143,2017-12-05,2018-08-27,IP,8
KING OF PRISM プリズムラッシュ！LIVE,585572000.0,15014666.666666666,2017-08-10,2020-10-29,IP,39
KOFクロニクル,30051666.666666664,2311666.6666666665,2019-10-17,2020-10-15,非IP,12
LINE ブラウンストーリーズ,58880000.0,1472000.0,2019-02-18,2022-05-31,非IP,39
LINE 超大富豪,23257142.85714286,2325714.285714286,2021-08-30,2022-05-31,非IP,9
LINE：ディズニー トイカンパニー,16995000.0,1888333.3333333333,2019-04-18,2019-12-04,IP,7
LINE：ドラえもんパーク,740651851.8518518,26451851.85185185,2019-09-03,2021-12-13,IP,27
LINE：ピクサー タワー ～おかいものパズル～,770723200.0,29643200.0,2019-08-14,2021-09-28,IP,25
MARVEL Super War,282014285.71428573,2473809.523809524,2015-01-22,2024-06-27,IP,114
MU：奇蹟の覚醒,622581142.8571428,16383714.285714284,2019-05-28,2022-06-20,非IP,37
NARUTO X BORUTO 忍者BORUTAGE,4817206097.560976,56014024.39024391,2017-11-15,2024-12-09,IP,86
NARUTO X BORUTO 忍者TRIBES,1297582000.0,58981000.0,2020-03-17,2021-12-16,IP,21
NARUTO-ナルト- 疾風伝　ナルティメットブレイジング,394284800.0,7040800.0,2016-07-14,2021-02-09,IP,55
NieR Recarnation,6191845833.333333,158765277.77777776,2021-02-18,2024-04-30,非IP,38
ONE PIECE サウザンドストーム,32331922253.521126,343956619.7183098,2016-04-21,2024-01-23,IP,94
ONE PIECE ボン！ボン！ジャーニー!!,940214166.6666666,36162083.33333333,2020-03-17,2022-04-06,IP,25
OVERHIT -オーバーヒット-,3595181250.0,105740625.0,2018-05-29,2021-02-25,非IP,33
Pancy-恋活・婚活マッチングアプリ,442800000.0,24600000.0,2017-10-10,2019-03-31,非IP,17
PaniPani -パラレルニクスパンドラナイト-,117200000.0,7813333.333333333,2017-09-28,2018-11-28,非IP,14
Project NOAH - プロジェクト・ノア -,61363636.36363636,5113636.363636363,2019-09-09,2020-08-31,非IP,11
RANBU 三国志乱舞,86346000.0,9594000.0,2020-11-16,2021-07-14,非IP,8
Readyyy!,92783333.33333334,18556666.666666668,2019-02-01,2019-06-28,非IP,4
Re：ゼロから始める異世界生活 リゼロス,6420128709.67742,194549354.83870968,2020-09-09,2023-05-12,IP,32
SHAMAN KING ふんばりクロニクル,2083355555.5555556,104167777.77777778,2021-12-08,2023-07-12,IP,19
SHOW BY ROCK!! Fes A Live,1832596451.612903,55533225.80645161,2020-03-12,2022-11-30,IP,33
SINoALICE ーシノアリスー,33490708571.42857,418633857.14285713,2017-06-06,2024-01-15,非IP,80
STAR OCEAN -anamnesis-,6451568750.0,117301250.0,2016-12-07,2021-06-24,非IP,55
StarHorsePocket+,5151189466.666667,57878533.333333336,2017-01-27,2024-05-31,非IP,89
TERA ORIGIN,755040000.0,47190000.0,2019-10-10,2021-01-28,非IP,15
THE KING OF FIGHTERS ALLSTAR,6422791666.666667,84510416.66666667,2018-07-26,2024-10-31,IP,76
THE KING OF FIGHTERS for GIRLS,353910000.0,20818235.29411765,2019-11-08,2021-03-31,IP,16
THE NEW GATE,8528000.0,164000.0,2016-10-04,2021-01-27,IP,52
TRAHA,3412401176.470588,92227058.8235294,2020-04-23,2023-04-20,非IP,36
TRINITY MASTER - トリマス -,43400000.0,6200000.0,2018-03-08,2018-09-27,非IP,6
V4,2377461333.3333335,74295666.66666667,2020-09-24,2023-04-26,非IP,31
VALKYRIE ANATOMIA,4019659210.5263157,65896052.631578945,2016-04-28,2021-04-27,非IP,60
Witch's Weapon-魔女兵器-,490591666.6666666,28858333.333333332,2019-04-25,2020-08-27,非IP,16
revisions next stage,90970000.0,8270000.0,2019-10-30,2020-08-12,非IP,9
